Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2011-01-30 17:41:50,Running,,4.79,25:03,5:14,11.46,390.0,44,,,2011-01-30-1741.gpx
2011-01-29 14:55:52,Running,,4.70,25:02,5:20,11.26,380.0,40,,,2011-01-29-1455.gpx
2011-01-27 21:38:55,Running,,4.39,23:00,5:15,11.44,356.0,33,,,2011-01-27-2138.gpx
2011-01-25 18:20:15,Running,,4.56,23:23,5:08,11.69,372.0,34,,"Fuck yeh",2011-01-25-1820.gpx
2011-01-23 20:17:45,Running,,4.29,23:04,5:23,11.15,349.0,38,,"GFE",2011-01-23-2017.gpx
2011-01-22 17:12:54,Running,,4.23,23:50,5:38,10.64,339.0,36,,,2011-01-22-1712.gpx
2011-01-20 21:44:54,Running,,3.81,21:07,5:33,10.81,309.0,34,,,2011-01-20-2144.gpx
2011-01-17 19:32:59,Running,,3.79,21:56,5:47,10.36,304.0,33,,,2011-01-17-1932.gpx
2011-01-15 20:46:44,Running,,3.85,21:06,5:29,10.94,309.0,36,,,2011-01-15-2046.gpx
2011-01-13 15:22:12,Running,,4.10,24:09,5:53,10.19,344.0,35,,,2011-01-13-1522.gpx
2011-01-10 20:12:26,Running,,4.20,23:33,5:37,10.69,337.0,36,,"Yeah!",2011-01-10-2012.gpx
2011-01-08 20:29:08,Running,,4.23,25:08,5:56,10.10,341.0,36,,"Fuck yeah",2011-01-08-2029.gpx
2011-01-06 11:12:58,Running,,3.86,24:17,6:17,9.54,307.0,35,,"Drop down a class.",2011-01-06-1112.gpx
